Levi's 501 jeans, 22000, 32, Medium Blue
Zara leather handbag, 8000, One Size, Brown
Vans Era sneakers, 29000, 43, Red/White
Adidas Trefoil t-shirt, 8500, M, Gray
Calvin Klein socks, 2500, L, White
Levi's Sherpa jacket, 32000, XL, Black
Puma track jacket, 15000, M, Blue/White
Gucci backpack, 38000, One Size, Black Leather
Tommy Hilfiger sweatpants, 11000, L, Navy
Columbia hiking boots, 39000, 45, Brown
Fila high-top sneakers, 31000, 42, Black/Red
Champion baseball cap, 3500, One Size, Navy
Nike Air Force 1 sneakers, 42000, 43, White
Patagonia beanie, 2500, One Size, Gray
Zara denim skirt, 8500, S, Dark Wash
H&M bomber jacket, 18000, M, Olive Green
Adidas NMD sneakers, 48000, 44, Black/Red
Vans Slip-On sneakers, 32000, 42, Black/White Checkerboard
Calvin Klein dress shirt, 13500, S, Light Blue
Ralph Lauren cardigan, 13000, M, Navy
The North Face duffel bag, 17000, One Size, Black
Nike Pro sports bra, 6500, XS, Pink
Levi's trucker vest, 14000, M, Denim
H&M chino shorts, 7500, 33, Beige
Converse Chuck Taylor high-tops, 36000, 43, Navy Blue
Columbia rain pants, 12000, L, Black
Tommy Hilfiger backpack, 8500, One Size, Red
Reebok Classic Leather sneakers, 33000, 41, White
Adidas EQT sneakers, 38000, 42, Black/Green
Puma track jacket, 15000, M, Red
Gucci sunglasses, 28000, One Size, Black/Gold
Ralph Lauren bucket hat, 5500, One Size, White/Navy
Vans Sk8-Hi sneakers, 34000, 44, Black/Gum
Calvin Klein swimsuit, 10000, M, Blue
North Face down vest, 17000, XL, Red
Levi's 501 jeans, 22000, 32, Medium Blue
Nike Air Max 270, 45000, 44, Black/White
Zara cropped sweater, 12000, S, Cream
Tommy Hilfiger polo shirt, 9000, M, Red
Ralph Lauren sports jacket, 28000, L, Charcoal
Reebok workout shorts, 6000, M, Black
Gucci leather belt, 25000, One Size, Brown
H&M striped t-shirt, 7000, M, Navy/White
Vans Old Skool sneakers, 30000, 43, Navy/White
Patagonia fleece jacket, 20000, M, Green
Columbia winter coat, 45000, L, Black
Calvin Klein jeans, 24000, 34, Dark Blue
Levi's hoodie, 15000, M, Gray
The North Face beanie, 3500, One Size, Blue
Nike gym shorts, 7000, L, Gray
Zara blouse, 11000, S, White
Tommy Hilfiger trench coat, 32000, M, Beige
Reebok running shorts, 5500, L, Gray
Ralph Lauren short-sleeve shirt, 14000, S, Light Pink
Vans low-top sneakers, 29000, 42, Black/White
Adidas zip-up hoodie, 18000, M, Black
Gucci loafers, 35000, 43, Black Leather
Patagonia rain jacket, 22000, L, Red
Columbia fleece vest, 15000, M, Navy
Nike tank top, 6000, M, White
Zara pleated skirt, 9500, M, Black
Reebok mesh shorts, 7000, L, Blue
Ralph Lauren wool sweater, 16000, L, Gray
Tommy Hilfiger sneakers, 25000, 42, Blue
Vans slip-on loafers, 31000, 44, Checkerboard
Abercrombie & Fitch bomber jacket, 25000, M, Burgundy
Reebok Zig Kinetica sneakers, 37000, 43, Gray/Black
H&M puffer vest, 14000, S, Navy
Ralph Lauren casual shirt, 11000, M, Light Green
The North Face fleece jacket, 19000, L, Black
Nike SB Dunk sneakers, 46000, 42, Purple/Gold
Zara silk blouse, 16000, M, Light Blue
Vans Authentic sneakers, 28000, 41, Green
Adidas Originals hoodie, 20000, L, Red
Calvin Klein joggers, 13000, M, Charcoal
Levi's cropped top, 12000, S, Black
Tommy Hilfiger sneakers, 27000, 44, White
Gucci bucket bag, 40000, One Size, Pink
H&M leather skirt, 15000, M, Black
Reebok Zig Kinetica sneakers, 38000, 43, Blue/Gray
Nike Air Max 90, 42000, 43, White/Blue
Zara linen shirt, 13000, L, Light Green
Vans UltraRange sneakers, 34000, 44, Black/Gray
Adidas Superstar slip-ons, 26000, 42, White
Calvin Klein long sleeve tee, 9000, M, Navy
Levi's bootcut jeans, 20000, 34, Light Blue
Tommy Hilfiger quilted jacket, 24000, L, Olive
Gucci leather gloves, 18000, One Size, Black
H&M corduroy pants, 14000, M, Brown
Reebok Freestyle sneakers, 29000, 41, White
Ralph Lauren wool cardigan, 16000, L, Charcoal
Nike React sneakers, 45000, 44, Black/White
Zara faux leather jacket, 25000, M, Dark Brown
Vans Sk8-Hi Slim sneakers, 31000, 43, Burgundy
Adidas Terrex hiking shoes, 36000, 45, Green
Calvin Klein cropped sweater, 14000, S, Pink
Levi's 721 high-rise jeans, 23000, 30, Black
Tommy Hilfiger fleece pullover, 18000, M, Gray
Gucci crossbody bag, 38000, One Size, Beige
H&M wool blend coat, 29000, M, Camel
Reebok Club C sneakers, 34000, 43, White/Navy
Ralph Lauren printed shirt, 15000, M, Blue
Nike Air VaporMax, 48000, 45, Black/Red
Zara button-up dress, 17000, M, Navy
Vans Classic Slip-On, 28000, 42, Checkerboard
Adidas Powerphase sneakers, 30000, 44, White
Calvin Klein tailored jacket, 35000, M, Dark Gray
Levi's casual chinos, 18000, 34, Olive
Tommy Hilfiger wool scarf, 6000, One Size, Red
Gucci wool hat, 12000, One Size, Gray
H&M ruffle blouse, 11000, S, Light Blue
Reebok Classic Nylon sneakers, 33000, 42, Black/White
Ralph Lauren plaid blazer, 25000, L, Dark Green
Nike Air Max 95, 47000, 44, Gray/White
Zara faux fur vest, 20000, M, Beige
Vans Authentic Platform, 29000, 43, Black/White
Adidas Adicolor hoodie, 22000, L, Pink
Calvin Klein trench coat, 30000, M, Beige
Levi's 517 bootcut jeans, 21000, 34, Medium Blue
Tommy Hilfiger baseball jacket, 27000, M, Navy
Gucci logo belt, 25000, One Size, Black
H&M oversized sweater, 16000, M, Gray
Reebok Classic Leather Ripple sneakers, 35000, 42, White
Ralph Lauren crew neck sweater, 14000, L, Light Gray
Nike Air Max 1, 44000, 45, Red/White
Zara embroidered blouse, 15000, S, Black
Vans Old Skool Platform, 32000, 44, White/Black
Adidas Nite Jogger, 37000, 43, Gray
Calvin Klein signature tee, 8000, M, White
Levi's leather belt, 18000, One Size, Brown
Tommy Hilfiger puffer vest, 20000, L, Black
Gucci GG Supreme bag, 50000, One Size, Beige
H&M tailored pants, 13000, M, Black
Reebok Workout Plus sneakers, 34000, 43, White
Ralph Lauren cable knit sweater, 16000, M, Navy
Nike Air Max 720, 49000, 44, Black/Gold
Abercrombie & Fitch jeans, 21000, 31, Light Blue
Reebok Classic sneakers, 34000, 42, White/Gum
H&M graphic hoodie, 12000, S, Black
Ralph Lauren chinos, 16000, 32, Khaki
The North Face windbreaker, 19000, L, Red/Gray
Nike Free Run running shoes, 47000, 44, Black/Orange
Zara leather handbag, 8000, One Size, Brown
Vans Era sneakers, 29000, 43, Red/White
Adidas Trefoil t-shirt, 8500, M, Gray
Calvin Klein socks, 2500, L, White
Levi's Sherpa jacket, 32000, XL, Black
Puma track jacket, 15000, M, Blue/White
Gucci backpack, 38000, One Size, Black Leather
Tommy Hilfiger sweatpants, 11000, L, Navy
Columbia hiking boots, 39000, 45, Brown
Fila high-top sneakers, 31000, 42, Black/Red
Champion baseball cap, 3500, One Size, Navy
Nike Air Force 1 sneakers, 42000, 43, White
Patagonia beanie, 2500, One Size, Gray
Zara denim skirt, 8500, S, Dark Wash
H&M bomber jacket, 18000, M, Olive Green
Adidas NMD sneakers, 48000, 44, Black/Red
Vans Slip-On sneakers, 32000, 42, Black/White Checkerboard
Calvin Klein dress shirt, 13500, S, Light Blue
Ralph Lauren cardigan, 13000, M, Navy
The North Face duffel bag, 17000, One Size, Black
Nike Pro sports bra, 6500, XS, Pink
Levi's trucker vest, 14000, M, Denim
H&M chino shorts, 7500, 33, Beige
Converse Chuck Taylor high-tops, 36000, 43, Navy Blue
Columbia rain pants, 12000, L, Black
Tommy Hilfiger backpack, 8500, One Size, Red
Reebok Classic Leather sneakers, 33000, 41, White
Adidas EQT sneakers, 38000, 42, Black/Green
Puma track jacket, 15000, M, Red
Gucci sunglasses, 28000, One Size, Black/Gold
Ralph Lauren bucket hat, 5500, One Size, White/Navy
Vans Sk8-Hi sneakers, 34000, 44, Black/Gum
Calvin Klein swimsuit, 10000, M, Blue
North Face down vest, 17000, XL, Red
Levi's 501 jeans, 22000, 32, Medium Blue
Nike Air Max 270, 45000, 44, Black/White
Zara cropped sweater, 12000, S, Cream
Tommy Hilfiger polo shirt, 9000, M, Red
Ralph Lauren sports jacket, 28000, L, Charcoal
Reebok workout shorts, 6000, M, Black
Gucci leather belt, 25000, One Size, Brown
H&M striped t-shirt, 7000, M, Navy/White
Vans Old Skool sneakers, 30000, 43, Navy/White
Patagonia fleece jacket, 20000, M, Green
Columbia winter coat, 45000, L, Black
Calvin Klein jeans, 24000, 34, Dark Blue
Levi's hoodie, 15000, M, Gray
The North Face beanie, 3500, One Size, Blue
Nike gym shorts, 7000, L, Gray
Zara blouse, 11000, S, White
Tommy Hilfiger trench coat, 32000, M, Beige
Reebok running shorts, 5500, L, Gray
Ralph Lauren short-sleeve shirt, 14000, S, Light Pink
Vans low-top sneakers, 29000, 42, Black/White
Adidas zip-up hoodie, 18000, M, Black
Gucci loafers, 35000, 43, Black Leather
Patagonia rain jacket, 22000, L, Red
Columbia fleece vest, 15000, M, Navy
Nike tank top, 6000, M, White
Zara pleated skirt, 9500, M, Black
Reebok mesh shorts, 7000, L, Blue
Ralph Lauren wool sweater, 16000, L, Gray
Tommy Hilfiger sneakers, 25000, 42, Blue
Vans slip-on loafers, 31000, 44, Checkerboard
Abercrombie & Fitch bomber jacket, 25000, M, Burgundy
Reebok Zig Kinetica sneakers, 37000, 43, Gray/Black
H&M puffer vest, 14000, S, Navy
Ralph Lauren casual shirt, 11000, M, Light Green
The North Face fleece jacket, 19000, L, Black
Nike SB Dunk sneakers, 46000, 42, Purple/Gold
Zara faux fur vest, 20000, M, Beige
Vans Authentic sneakers, 28000, 41, Green
Adidas Originals hoodie, 20000, L, Red
Calvin Klein joggers, 13000, M, Charcoal
Levi's cropped top, 12000, S, Black
Tommy Hilfiger sneakers, 27000, 44, White
Gucci crossbody bag, 38000, One Size, Pink
H&M leather skirt, 15000, M, Black
Reebok Zig Kinetica sneakers, 38000, 43, Blue/Gray
Nike Air Max 90, 42000, 43, White/Blue
Zara button-up dress, 17000, M, Navy
Vans Classic Slip-On, 28000, 42, Checkerboard
Adidas Powerphase sneakers, 30000, 44, White
Calvin Klein tailored jacket, 35000, M, Dark Gray
Levi's casual chinos, 18000, 34, Olive
Tommy Hilfiger wool scarf, 6000, One Size, Red
Gucci wool hat, 12000, One Size, Gray
H&M oversized sweater, 16000, M, Gray
Reebok Classic Nylon sneakers, 33000, 42, Black/White
Ralph Lauren plaid blazer, 25000, L, Dark Green
Nike Air Max 95, 47000, 44, Gray/White
Zara embroidered blouse, 15000, S, Black
Vans Old Skool Platform, 32000, 44, White/Black
Adidas Nite Jogger, 37000, 43, Gray
Calvin Klein signature tee, 8000, M, White
Levi's leather belt, 18000, One Size, Brown
Tommy Hilfiger puffer vest, 20000, L, Black
Gucci GG Supreme bag, 50000, One Size, Beige
H&M tailored pants, 13000, M, Black
Reebok Workout Plus sneakers, 34000, 43, White
Ralph Lauren crew neck sweater, 14000, L, Light Gray
Nike Air VaporMax, 48000, 44, Black/Red
Abercrombie & Fitch cargo shorts, 15000, 34, Olive
Reebok Royal Glide sneakers, 29000, 42, Gray/White
H&M printed maxi dress, 18000, M, Floral
Ralph Lauren sweater vest, 16000, L, Navy
The North Face insulated pants, 25000, L, Black
Nike Air Zoom Pegasus, 42000, 44, Blue/Gray
Zara belted coat, 23000, M, Camel
Vans Checkerboard Slip-On, 30000, 43, Black/White
Adidas UltraBoost sneakers, 49000, 44, White
Calvin Klein short-sleeve shirt, 9500, M, Blue
Levi's 710 skinny jeans, 22000, 32, Dark Wash
Tommy Hilfiger beanie, 4500, One Size, Gray
Gucci GG Marmont wallet, 35000, One Size, Black
H&M striped sweater, 14000, S, Blue/White
Reebok Classic Leather sneakers, 33000, 41, White
Ralph Lauren oxford shirt, 12000, M, Pink
Nike Air Max 98, 47000, 43, Black/White
Zara fitted blazer, 19000, M, Dark Blue
Vans Era Platform sneakers, 32000, 42, Black/White
Adidas ZX 5000, 34000, 43, Blue/White
Calvin Klein long sleeve shirt, 13000, M, Charcoal
Levi's denim skirt, 14000, S, Light Blue
Tommy Hilfiger fleece jacket, 15000, M, Red
Gucci GG Supreme tote, 42000, One Size, Beige
H&M A-line dress, 15000, M, Navy
Reebok InstaPump Fury sneakers, 37000, 43, Black/Red
Ralph Lauren corduroy pants, 16000, 34, Brown
Nike SB Dunk Low, 45000, 42, Green/White
Abercrombie & Fitch jeans, 21000, 31, Light Blue
Reebok Classic sneakers, 34000, 42, White/Gum
H&M graphic hoodie, 12000, S, Black
Ralph Lauren chinos, 16000, 32, Khaki
The North Face windbreaker, 19000, L, Red/Gray
Nike Free Run running shoes, 47000, 44, Black/Orange
Zara leather handbag, 8000, One Size, Brown
Vans Era sneakers, 29000, 43, Red/White
Adidas Trefoil t-shirt, 8500, M, Gray
Calvin Klein socks, 2500, L, White
Levi's Sherpa jacket, 32000, XL, Black
Puma track jacket, 15000, M, Blue/White
Gucci backpack, 38000, One Size, Black Leather
Tommy Hilfiger sweatpants, 11000, L, Navy
Columbia hiking boots, 39000, 45, Brown
Fila high-top sneakers, 31000, 42, Black/Red
Champion baseball cap, 3500, One Size, Navy
Nike Air Force 1 sneakers, 42000, 43, White
Patagonia beanie, 2500, One Size, Gray
Zara denim skirt, 8500, S, Dark Wash
H&M bomber jacket, 18000, M, Olive Green
Adidas NMD sneakers, 48000, 44, Black/Red
Vans Slip-On sneakers, 32000, 42, Black/White Checkerboard
Calvin Klein dress shirt, 13500, S, Light Blue
Ralph Lauren cardigan, 13000, M, Navy
The North Face duffel bag, 17000, One Size, Black
Nike Pro sports bra, 6500, XS, Pink
Levi's trucker vest, 14000, M, Denim
H&M chino shorts, 7500, 33, Beige
Converse Chuck Taylor high-tops, 36000, 43, Navy Blue
Columbia rain pants, 12000, L, Black
Tommy Hilfiger backpack, 8500, One Size, Red
Reebok Classic Leather sneakers, 33000, 41, White
Adidas EQT sneakers, 38000, 42, Black/Green
Puma track jacket, 15000, M, Red
Gucci sunglasses, 28000, One Size, Black/Gold
Ralph Lauren bucket hat, 5500, One Size, White/Navy
Vans Sk8-Hi sneakers, 34000, 44, Black/Gum
Calvin Klein swimsuit, 10000, M, Blue
North Face down vest, 17000, XL, Red
Levi's 501 jeans, 22000, 32, Medium Blue
Nike Air Max 270, 45000, 44, Black/White
Zara cropped sweater, 12000, S, Cream
Tommy Hilfiger polo shirt, 9000, M, Red
Ralph Lauren sports jacket, 28000, L, Charcoal
Reebok workout shorts, 6000, M, Black
Gucci leather belt, 25000, One Size, Brown
H&M striped t-shirt, 7000, M, Navy/White
Vans Old Skool sneakers, 30000, 43, Navy/White
Patagonia fleece jacket, 20000, M, Green
Columbia winter coat, 45000, L, Black
Calvin Klein jeans, 24000, 34, Dark Blue
Levi's hoodie, 15000, M, Gray
The North Face beanie, 3500, One Size, Blue
Nike gym shorts, 7000, L, Gray
Zara blouse, 11000, S, White
Tommy Hilfiger trench coat, 32000, M, Beige
Reebok running shorts, 5500, L, Gray
Ralph Lauren short-sleeve shirt, 14000, S, Light Pink
Converse Chuck Taylor low-tops, 34000, 42, Red/White
Adidas Terrex sneakers, 35000, 43, Green/Black
H&M printed dress, 14000, M, Floral
Levi's denim jacket, 25000, M, Light Blue
Nike Air Max Plus, 46000, 44, Black/Red
Zara leather skirt, 15000, S, Black
Puma RS-X sneakers, 38000, 44, Black/White
Reebok Club C sneakers, 32000, 42, White
Ralph Lauren zip-up hoodie, 16000, M, Light Gray
Tommy Hilfiger sweater, 14000, M, Blue
Gucci GG Marmont belt, 29000, One Size, Black
H&M utility jacket, 17000, L, Olive
Nike Zoom Freak 1, 49000, 44, White/Gold
Vans Era Pro sneakers, 32000, 43, Blue/White
Adidas Superstar sneakers, 34000, 42, White/Black
Calvin Klein pleated skirt, 11000, S, Gray
Levi's high-rise jeans, 22000, 32, Dark Wash
The North Face cargo pants, 18000, L, Black
Gucci leather wallet, 26000, One Size, Black
H&M satin blouse, 12000, M, Pink
Puma Ignite sneakers, 30000, 43, White/Black
Reebok Floatride sneakers, 33000, 44, Gray/Blue
Ralph Lauren rugby shirt, 15000, M, Striped
Nike React Element 55, 47000, 44, White/Black
Zara wide-leg pants, 14000, M, Beige
Tommy Hilfiger slip-ons, 25000, 43, Navy
Gucci GG Supreme cap, 17000, One Size, Beige
H&M floral skirt, 11000, M, Blue
Levi's 711 skinny jeans, 21000, 32, Black
Adidas Adilette slides, 8500, 43, Black/White
Calvin Klein leather jacket, 32000, M, Black
Nike Air Max 1, 45000, 43, White/Red
Reebok Classic Nylon sneakers, 34000, 42, Black/White
Ralph Lauren hooded sweatshirt, 16000, M, Burgundy
Tommy Hilfiger joggers, 14000, L, Gray
Gucci GG Marmont crossbody, 39000, One Size, Pink
H&M cropped sweater, 13000, M, Light Blue
Nike Air VaporMax Plus, 49000, 44, White/Blue
Vans Classic Slip-On, 30000, 42, Black/White Checkerboard
Adidas ZX Flux sneakers, 33000, 43, Black/Green
Calvin Klein knitted dress, 15000, S, Charcoal
Levi's bomber jacket, 22000, M, Olive
Tommy Hilfiger puffer coat, 33000, M, Black
Gucci GG Marmont shoulder bag, 40000, One Size, Beige
H&M cable knit sweater, 14000, M, Gray
Reebok Workout Plus sneakers, 34000, 43, White
Ralph Lauren cable knit sweater, 16000, M, Navy
Nike Air Max 720, 49000, 44, Black/Gold
Abercrombie & Fitch shorts, 15000, 32, Blue
Reebok Classic leather sneakers, 33000, 43, Black
H&M oversized sweater, 14000, M, Lavender
Ralph Lauren polo dress, 19000, S, Navy
The North Face insulated vest, 20000, M, Gray
Nike Air Max 97, 47000, 44, Silver/Red
Zara crossbody bag, 9000, One Size, Green
Vans Old Skool Pro sneakers, 32000, 44, Black/White
Adidas Originals hoodie, 13000, L, Burgundy
Calvin Klein ribbed tank top, 6000, M, Black
Levi's straight leg jeans, 22000, 34, Medium Wash
Puma Puma RS-2K sneakers, 37000, 43, White/Blue
Gucci GG Supreme tote, 34000, One Size, Brown
Tommy Hilfiger scarf, 7000, One Size, Red/White
Columbia down jacket, 35000, L, Blue
Fila Disruptor sneakers, 32000, 42, White
Champion crewneck sweatshirt, 12000, M, Gray
Nike Air Max Plus 3, 49000, 45, Black/Yellow
Patagonia fleeced jacket, 21000, L, Brown
Zara belted coat, 25000, M, Camel
Ralph Lauren wool sweater, 15000, S, Charcoal
Converse Chuck Taylor low tops, 33000, 42, White/Red
Adidas Ultraboost sneakers, 49000, 44, White/Black
H&M tailored pants, 13000, 32, Dark Gray
Levi's vintage jacket, 28000, L, Light Blue
Nike SB Dunk High, 45000, 43, Black/Gold
Zara satin blouse, 11000, S, Emerald Green
Puma suede sneakers, 30000, 42, Black
Gucci GG Marmont wallet, 27000, One Size, Red
Tommy Hilfiger cable knit sweater, 14000, M, Gray
H&M faux leather pants, 16000, M, Black
Reebok Zig Kinetica sneakers, 34000, 44, Blue/White
Ralph Lauren denim skirt, 12000, S, Light Blue
Nike React Infinity Run, 46000, 44, Black/White
Adidas Terrex boots, 38000, 45, Brown
Vans Era sneakers, 28000, 41, Blue/White
Calvin Klein silk blouse, 18000, S, Ivory
Levi's 512 slim taper jeans, 24000, 32, Dark Wash
The North Face fleece vest, 19000, L, Black
Tommy Hilfiger beanie, 3500, One Size, Navy
Gucci GG Marmont crossbody bag, 42000, One Size, Black
H&M striped sweater, 13000, M, Red/White
Nike Air Zoom Pegasus 37, 46000, 44, Gray/Orange
Adidas Tiro sweatpants, 14000, L, Black
Reebok Classic Nylon sneakers, 33000, 42, Green
Ralph Lauren silk tie, 8000, One Size, Burgundy
Levi's trucker jacket, 22000, M, Dark Blue
Puma RS-X3 sneakers, 35000, 43, White/Gray
Zara faux fur coat, 28000, M, Black
Champion joggers, 11000, L, Black
The North Face daypack, 16000, One Size, Red
Gucci GG Supreme belt bag, 39000, One Size, Black
Nike Air Max 1 Premium, 47000, 44, White/Gold
H&M pleated trousers, 14000, 34, Charcoal
Ralph Lauren cashmere sweater, 35000, M, Blue
Adidas ZX 2K Boost sneakers, 49000, 44, Black/White
Tommy Hilfiger puffer vest, 18000, L, Navy
Levi's 501 shorts, 17000, 32, Light Wash
Puma Thunder Spectra sneakers, 38000, 44, White/Black
Gucci GG Marmont backpack, 42000, One Size, Beige
Nike React Element 87, 49000, 44, Black
H&M wool coat, 22000, M, Camel
Reebok Club C 85 sneakers, 33000, 43, White/Green
Ralph Lauren printed shirt, 14000, S, Blue
Zara embellished jacket, 20000, M, Silver
Calvin Klein belt, 12000, One Size, Black
Levi's cropped hoodie, 15000, M, Light Pink
Abercrombie & Fitch flannel shirt, 16000, M, Red/Black
Reebok Workout Plus sneakers, 35000, 43, White
H&M ribbed knit dress, 14000, S, Olive
Ralph Lauren fleece jacket, 18000, L, Navy
The North Face cargo shorts, 16000, M, Beige
Nike Air Max 2090, 48000, 44, Black/White
Zara puff sleeve blouse, 13000, S, Coral
Vans Authentic sneakers, 28000, 42, Green/White
Adidas Supernova sneakers, 47000, 43, Blue/White
Calvin Klein graphic t-shirt, 9000, M, Black
Levi's 720 high-rise jeans, 22000, 30, Medium Wash
Puma Clyde sneakers, 31000, 41, Black
Gucci GG canvas tote, 35000, One Size, Beige
Tommy Hilfiger belt, 6000, One Size, Brown
Columbia softshell jacket, 23000, M, Gray
Fila Heritage sneakers, 34000, 44, White/Red
Champion long sleeve shirt, 11000, M, Heather Gray
Nike SB Dunk High, 46000, 45, Red/Black
Patagonia lightweight jacket, 20000, L, Blue
Zara leather pants, 17000, M, Black
Ralph Lauren v-neck sweater, 15000, S, Light Blue
Converse Chuck Taylor sneakers, 33000, 43, Black/White
Adidas Forum sneakers, 38000, 44, White/Black
H&M tie-dye hoodie, 15000, M, Multicolor
Levi's 501 skinny shorts, 18000, 32, Blue
Nike Air Zoom Alphafly NEXT%, 50000, 45, White/Red
Zara printed scarf, 7000, One Size, Pink
Tommy Hilfiger puffer jacket, 28000, M, Red
Gucci GG Marmont large shoulder bag, 45000, One Size, Black
H&M oversized shirt, 12000, L, Blue
Reebok Zig Kinetica sneakers, 36000, 43, Gray/Orange
Ralph Lauren cable knit cardigan, 19000, M, Charcoal
Nike Free Metcon 4, 47000, 44, Black
Adidas AdiEase sneakers, 31000, 42, White/Black
Levi's 715 bootcut jeans, 22000, 34, Dark Wash
Puma RS-X3 Puzzle sneakers, 38000, 44, Yellow/Black
Gucci GG Marmont wallet on chain, 36000, One Size, Red
The North Face reversible jacket, 25000, L, Blue/Gray
H&M pleated midi skirt, 13000, M, Burgundy
Tommy Hilfiger sneakers, 26000, 43, White/Navy
Reebok Classic leather sneakers, 35000, 42, Beige
Ralph Lauren short-sleeve polo, 14000, S, Green
Nike Air Max 270 React, 47000, 44, Gray/White
Adidas Nite Jogger, 38000, 43, Black/White
Levi's 501 shorts, 17000, 30, Light Blue
Puma Future Rider sneakers, 35000, 43, Red/White
Gucci GG Marmont crossbody, 40000, One Size, Pink
H&M printed dress, 15000, M, Floral
Nike Air Max 90, 46000, 45, White/Black
Adidas Superstar 80s, 32000, 42, White/Gold
